prod,subfund,issuer,date_auth,doc,deriv,type,id_prod,id_subfund,url_doc,name_subfund,name_prod,diff_text,year
Amundi Funds (AGC783),Global High Yield Bond (BPS133),Amundi Luxembourg S.A.,2020-08-06,Offering Documents,No,11,AGC783,BPS133,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPS133&docType=OD,Global High Yield Bond,Amundi Funds,Global High Yield Bond,2020
Amundi Funds (AGC783),Pioneer US Bond (BPS134),Amundi Luxembourg S.A.,2020-08-06,Offering Documents,No,11,AGC783,BPS134,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPS134&docType=OD,Pioneer US Bond,Amundi Funds,Pioneer US Bond,2020
Amundi Funds (AGC783),Real Assets Target Income (BSY454),Amundi Luxembourg S.A.,2022-11-23,,No,0,AGC783,BSY454,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSY454&docType=OD,Real Assets Target Income,Amundi Funds,Real Assets Target Income,2022
Amundi HK Portfolios (ATH930),Amundi HK - Asian Bond Fixed Maturity Fund 2023 (BPJ964),Amundi Hong Kong Limited,2020-03-23,Offering Documents,No,2,ATH930,BPJ964,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPJ964&docType=OD,Amundi HK - Asian Bond Fixed Maturity Fund 2023,Amundi HK Portfolios,- Asian Bond Fixed Maturity 2023,2020
Amundi HK Portfolios (ATH930),Amundi HK - Sustainable Food For Generations (BSJ005),Amundi Hong Kong Limited,2022-07-19,,No,0,ATH930,BSJ005,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSJ005&docType=OD,Amundi HK - Sustainable Food For Generations,Amundi HK Portfolios,- Sustainable Food For Generations,2022
Amundi HK Portfolios (ATH930),Amundi HK – MedTech Fund (BSJ006),Amundi Hong Kong Limited,2022-07-19,,No,0,ATH930,BSJ006,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSJ006&docType=OD,Amundi HK – MedTech Fund,Amundi HK Portfolios,– MedTech,2022
Architas Multi-Manager Global Managed Funds Unit Trust (BLW767),E.P.I.C. Global Equity Opportunities Fund (BSP533),Architas Multi-Manager Europe Limited,2022-07-27,Offering Documents,No,11,BLW767,BSP533,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BSP533&docType=OD,E.P.I.C. Global Equity Opportunities Fund,Architas Multi-Manager Global Managed Funds Unit Trust,E.P.I.C. Equity Opportunities,2022
Avenue Global OFC (BPX505),,Avenue Investment Management Limited,2020-12-17,Offering Documents,,0,BPX505,,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=nan&docType=OD,,Avenue Global OFC,,2020
Avenue Global OFC (BPX505),Avenue Asian High Yield Bond Fund (BPX506),Avenue Investment Management Limited,2020-12-17,Offering Documents,No,2,BPX505,BPX506,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BPX506&docType=OD,Avenue Asian High Yield Bond Fund,Avenue Global OFC,Asian High Yield Bond,2020
AXA World Funds (AEU586),AXA World Funds - Framlington Digital Economy (BQQ357),AXA Funds Management S.A.,2021-03-26,Offering Documents,No,13,AEU586,BQQ357,https://apps.sfc.hk/productlistWeb/searchProduct/getDocListNoDate.do?lang=EN&ceref=BQQ357&docType=OD,AXA World Funds - Framlington Digital Economy,AXA World Funds,- Framlington Digital Economy,2021
